OpenROAD v2.0-17013-gf7f634f88 
Features included (+) or not (-): +Charts +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 32 thread(s).
[WARNING PDN-0231] pll is not connected to any power/ground nets.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_647/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_647/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_646/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_646/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_645/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_645/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_644/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_644/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_643/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_643/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_642/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_642/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_641/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_641/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_640/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_640/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_639/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_8_639/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_638/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_638/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_637/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_637/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_636/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_636/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_635/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_635/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_634/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_634/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_633/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_633/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_632/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_632/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_631/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_631/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_630/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_630/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_629/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_629/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_628/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_628/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_627/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_627/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_626/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_626/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_625/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_625/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_624/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_624/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_623/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_623/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_622/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_622/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_621/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_621/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_620/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_620/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_619/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_619/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_618/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_618/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_617/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_617/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_616/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_616/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_615/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_615/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_614/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_614/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_613/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_613/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_612/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_612/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_611/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_611/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_610/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_610/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_609/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_609/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_608/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_608/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_607/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_607/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_606/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_606/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_605/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_605/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_604/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_604/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_603/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_603/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_602/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_602/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_601/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_601/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_600/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_600/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_599/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_599/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_598/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_598/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_597/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_597/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_596/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_596/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_595/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_595/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_594/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_594/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_593/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_593/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_592/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_592/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_591/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_591/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_590/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_590/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_589/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_589/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_588/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_588/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_587/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_587/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_586/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_586/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_585/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_585/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_584/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_584/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_583/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_583/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_582/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_582/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_581/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_581/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_580/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_580/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_579/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_579/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_578/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_578/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_577/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_577/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_576/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_576/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_575/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_575/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_574/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_574/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_573/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_573/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_572/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_572/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_571/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_571/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_570/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_570/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_569/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_569/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_568/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_7_568/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_567/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_567/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_566/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_566/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_565/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_565/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_564/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_564/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_563/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_563/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_562/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_562/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_561/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_561/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_560/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_560/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_559/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_559/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_558/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_558/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_557/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_557/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_556/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_556/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_555/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_555/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_554/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_554/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_553/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_553/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_552/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_552/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_551/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_551/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_550/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_550/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_549/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_549/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_548/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_548/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_547/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_547/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_546/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_546/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_545/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_545/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_544/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_544/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_543/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_543/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_542/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_542/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_541/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_541/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_540/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_540/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_539/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_539/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_538/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_538/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_537/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_537/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_536/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_536/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_535/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_535/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_534/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_534/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_533/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_533/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_532/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_532/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_531/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_531/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_530/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_530/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_529/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_529/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_528/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_528/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_527/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_527/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_526/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_526/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_525/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_525/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_524/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_524/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_523/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_523/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_522/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_522/VPWR is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_521/VGND is not connected to any net.
[WARNING PDN-0189] Supply pin TAP_TAPCELL_ROW_6_521/VPWR is not connected to any net.
